speed_mean,speed_max,speed_std,throttle_mean,throttle_max,throttle_full_pct,brake_mean,brake_applications,rpm_mean,rpm_max,gear_mean,gear_shifts,drs_active_pct,telemetry_points,lap_duration,lap_number,lap_time_seconds,compound,tyre_life,wear_total,stint_id,wear_cumulative,degradation_normalized,baseline_time,predicted_lap_time,scenario
154.7010591419606,269.0,64.70306042843734,47.2079744005426,100.0,30.931458699472756,0.2530755711775044,144,9349.804009780357,12101.0,3.720562390158172,40,0.0,569,76.659,22.0,76.659,MEDIUM,22.0,68474.87500940471,1,1386788.6010783669,0.9999990510274944,78.129,82.03544629288636,Baseline (Standard Tire)
154.46638630275356,270.0,64.35551757095757,47.761063460825824,100.0,32.52595155709342,0.24740484429065743,143,9337.048061141682,11756.0,3.7231833910034604,38,0.0,578,76.604,23.0,76.604,MEDIUM,23.0,68799.29056726955,1,1455587.8916456364,0.9999995230618011,78.129,82.03544813686477,Baseline (Standard Tire)
154.10571934548207,271.0,63.34798954922916,47.514300860489094,100.0,30.83475298126065,0.25894378194207834,152,9338.910950881755,11821.0,3.7478705281090288,40,0.0,587,76.798,24.0,76.798,MEDIUM,24.0,68041.32800720172,1,1523629.2196528383,0.9999997584748422,78.129,82.03544905649404,Baseline (Standard Tire)
153.24578125320605,270.0,64.35896786760715,46.50601914657443,100.0,30.730050933786078,0.2597623089983022,153,9314.288745884045,11909.0,3.735144312393888,42,0.0,589,77.183,25.0,77.183,MEDIUM,25.0,70292.17042669732,1,1593921.3900795355,0.9999998804120677,78.129,82.03544953283571,Baseline (Standard Tire)
151.28085929990146,272.0,64.60600351073515,46.04341216996559,100.0,29.7029702970297,0.24587458745874588,149,9208.03081932855,11754.0,3.707920792079208,40,0.0,606,77.212,26.0,77.212,MEDIUM,26.0,72415.02722380437,1,1666336.41730334,0.9999999420313896,78.129,82.03544977354852,Baseline (Standard Tire)
152.71334300018478,274.0,65.1349387191745,46.640069775046086,100.0,30.136986301369863,0.25,146,9349.710680307719,11774.0,3.683219178082192,43,0.0,584,77.259,27.0,77.259,MEDIUM,27.0,71022.23206114456,1,1737358.6493644845,0.9999999715064045,78.129,82.0354498886912,Baseline (Standard Tire)
152.90738205137097,272.0,65.79329909440126,46.093146697348786,100.0,29.103214890016922,0.24873096446700507,147,9231.970451387857,11762.0,3.749576988155668,41,0.0,591,77.77,28.0,77.77,MEDIUM,28.0,73310.39791533642,1,1810669.047279821,0.9999999863112358,78.129,82.03544994652553,Baseline (Standard Tire)
150.45103304062658,274.0,65.38681600066278,46.31553589035368,100.0,30.333333333333336,0.265,159,9223.143315664125,11967.0,3.67,38,0.0,600,78.001,29.0,78.001,MEDIUM,29.0,73835.96040795607,1,1884505.007687777,0.9999999934581777,78.129,82.0354499744447,Baseline (Standard Tire)
151.26362041541137,273.0,65.93084210840794,45.39238617723831,100.0,28.833333333333332,0.2683333333333333,161,9268.620547136432,12055.0,3.6416666666666666,44,0.0,600,78.16,30.0,78.16,MEDIUM,30.0,75128.06428548698,1,1959633.071973264,0.9999999969138168,78.129,82.03544998794398,Baseline (Standard Tire)
149.5350551096668,271.0,65.0931054021959,45.62079507497935,100.0,29.35323383084577,0.24543946932006633,148,9205.353768165201,11654.0,3.6351575456053067,40,0.0,603,78.741,31.0,78.741,MEDIUM,31.0,72875.62936420513,1,2032508.701337469,0.9999999985108897,78.129,82.03544999418287,Baseline (Standard Tire)
